Packet number,Time
1,0.0
2,0.25
3,1.0
4,1.75
5,2.5
6,2.75
7,3.5
8,3.75
9,4.0
10,4.75
11,5.5
12,5.75
13,6.5
14,6.75
15,7.0
16,7.25
17,8.0
18,8.75
19,9.0
20,9.75
21,10.0
22,10.25
23,10.5
24,11.25
25,12.0
26,12.75
27,13.0
28,13.25
29,14.0
30,14.25
31,15.0
32,15.25
33,15.5
34,15.75
35,16.0
36,16.25
37,17.0
38,17.75
39,18.0
40,18.75
41,19.0
42,19.25
43,19.5
44,20.25
45,21.0
46,21.75
47,22.0
48,22.25
49,23.0
50,23.25
51,24.0
52,24.25
53,24.5
54,24.75
55,25.0
56,25.25
57,26.0
58,26.75
59,27.0
60,27.25
61,27.5
62,27.75
63,28.0
64,28.75
65,29.0
66,29.25
67,29.5
68,29.75
69,30.0
70,30.75
71,31.5
72,32.25
73,32.5
74,32.75
75,33.5
76,33.75
77,34.5
78,35.25
79,35.5
80,35.75
81,36.5
82,36.75
83,37.0
84,37.75
85,38.5
86,38.75
87,39.0
88,39.25
89,40.0
90,40.25
91,41.0
92,41.75
93,42.5
94,42.75
95,43.0
96,43.75
97,44.0
98,44.75
99,45.5
100,45.75
101,46.0
102,46.75
103,47.0
104,47.25
105,48.0
106,48.75
107,49.5
108,49.75
109,50.5
110,50.75
111,51.0
112,51.75
113,52.0
114,52.25
115,52.5
116,52.75
117,53.0
118,53.75
119,54.5
120,54.75
121,55.5
122,56.25
123,56.5
124,56.75
125,57.5
126,58.25
127,58.5
128,58.75
129,59.5
130,59.75
131,60.0
132,60.75
133,61.5
134,62.25
135,62.5
136,62.75
137,63.5
138,63.75
139,64.5
140,65.25
141,66.0
142,66.25
143,66.5
144,67.25
145,67.5
146,68.25
147,69.0
148,69.25
149,69.5
150,69.75
151,70.0
152,70.25
153,71.0
154,71.75
155,72.0
156,72.25
157,73.0
